antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_text,consequents_text,rule_type
['keyword:decays'],['cluster:0'],0.003150236267720079,0.09963247243543266,0.0031252343925794435,0.9920634920634921,9.957230487343411,1.0,0.0028113685644707226,113.44630847313589,0.9024132828371498,0.03135975915704967,0.9911852574714954,0.5117155603353847,['keyword:decays'],['cluster:0'],keyword_to_topic
['keyword:flavor'],['cluster:0'],0.001925144385828937,0.09963247243543266,0.0019001425106883016,0.987012987012987,9.906539132135116,1.0,0.001708335615732972,69.32829962247166,0.9007907261892205,0.0190667335674862,0.9855758758624471,0.5030422526031058,['keyword:flavor'],['cluster:0'],keyword_to_topic
['keyword:quark'],['cluster:0'],0.005100382528689652,0.09963247243543266,0.005025376903267745,0.9852941176470589,9.889287032253304,1.0,0.004517213181567911,61.224991874390795,0.9034886132751916,0.0504012036108325,0.9836668006089474,0.5178666322237804,['keyword:quark'],['cluster:0'],keyword_to_topic
['cluster:0'],['keyword:quark'],0.09963247243543266,0.005100382528689652,0.005025376903267745,0.05043914680050188,9.889287032253302,1.0,0.004517213181567911,1.0477470865811764,0.9983483946478869,0.0504012036108325,0.04557119479756926,0.5178666322237804,['cluster:0'],['keyword:quark'],topic_to_keyword
['keyword:meson'],['cluster:0'],0.0016251218841413105,0.09963247243543266,0.001600120009000675,0.9846153846153847,9.882474664607663,1.0,0.0014382050976747475,58.52388929169708,0.9002738248772914,0.016056196688409432,0.9829129606370527,0.5003378052311553,['keyword:meson'],['cluster:0'],keyword_to_topic
['keyword:cdf'],['cluster:0'],0.0013250993824536841,0.09963247243543266,0.0013000975073130484,0.981132075471698,9.847513079709286,1.0,0.0011680745796165228,47.7194789609218,0.8996436357053722,0.013045659809332663,0.9790441970077061,0.49709050448616265,['keyword:cdf'],['cluster:0'],keyword_to_topic
['keyword:flavour'],['cluster:0'],0.001275095632172413,0.09963247243543266,0.0012500937570317774,0.9803921568627452,9.840086599257019,1.0,0.0011230528266068188,45.91874390579309,0.8995218545035798,0.012543903662819869,0.9782224008119299,0.49646960415282804,['keyword:flavour'],['cluster:0'],keyword_to_topic
['keyword:higgs_boson'],['cluster:0'],0.0011750881316098707,0.09963247243543266,0.0011500862564692352,0.9787234042553192,9.823337515683814,1.0,0.0010330093205874107,42.317273795534824,0.8992583120204602,0.011540391369794279,0.9763689881150729,0.4951333457913986,['keyword:higgs_boson'],['cluster:0'],keyword_to_topic
['keyword:hera'],['cluster:0'],0.001100082506187964,0.09963247243543266,0.0010750806310473285,0.9772727272727273,9.808777232804836,1.0,0.0009654766910728545,39.616171212840996,0.899039510960262,0.010787757150025086,0.9747577827592823,0.4940315957568153,['keyword:hera'],['cluster:0'],keyword_to_topic
['keyword:higgs'],['cluster:0'],0.005275395654674101,0.09963247243543266,0.005150386278970923,0.9763033175355449,9.799047375525518,1.0,0.004624785566820604,37.995509663224524,0.9027114235919449,0.05162907268170426,0.9736811005073084,0.5139985847401689,['keyword:higgs'],['cluster:0'],keyword_to_topic
['cluster:0'],['keyword:higgs'],0.09963247243543266,0.005275395654674101,0.005150386278970923,0.05169385194479297,9.799047375525518,1.0,0.004624785566820604,1.0489488087631975,0.9973141369273888,0.05162907268170426,0.0466646306800353,0.5139985847401689,['cluster:0'],['keyword:higgs'],topic_to_keyword
['keyword:asymmetries'],['cluster:0'],0.001050078755906693,0.09963247243543266,0.0010250768807660575,0.9761904761904763,9.797914799545916,1.0,0.0009204549380631505,37.81543615771196,0.8988813634851404,0.010286001003512292,0.9735557724144863,0.4932395291868316,['keyword:asymmetries'],['cluster:0'],keyword_to_topic
['keyword:pion'],['cluster:0'],0.001775133134985124,0.09963247243543266,0.0017251293847038527,0.9718309859154929,9.754159082474771,1.0,0.0015482684815632242,31.963047228542056,0.8990756087167056,0.01730624529721595,0.9687138715889696,0.49457295845335497,['keyword:pion'],['cluster:0'],keyword_to_topic
['keyword:gluon'],['cluster:0'],0.0017501312598444884,0.09963247243543266,0.0017001275095632172,0.9714285714285714,9.750120093206668,1.0,0.001525757605058372,31.512863464759846,0.8990105471897978,0.017055430147980936,0.9682669268973835,0.4942462806954651,['keyword:gluon'],['cluster:0'],keyword_to_topic
['keyword:parton'],['cluster:0'],0.001375103132734955,0.09963247243543266,0.0013250993824536841,0.9636363636363637,9.671910573742444,1.0,0.0011880944574855915,24.760107008025667,0.8978424375722154,0.013293202909455733,0.9596124524148518,0.48846811908292465,['keyword:parton'],['cluster:0'],keyword_to_topic
