paper_id,cluster_id,umap_x,umap_y
0804.2119,4,4.588001,-1.8289626
1002.0316,4,5.052184,4.4775066
0901.0485,4,5.609721,-0.874104
0810.0819,4,4.3590655,-0.6165181
0710.2511,4,4.7664037,-0.18193118
0906.0838,4,5.104062,4.737755
1002.1911,4,3.7241848,5.1840215
0803.0191,3,5.063431,4.8728414
0811.1874,4,5.578419,-2.4649575
0912.2910,4,5.5101438,-1.6110369
0908.4350,4,4.8216343,4.513114
0907.3498,4,4.013641,-0.08045178
0812.3784,4,5.194729,4.12015
0906.4960,4,1.8163491,1.1857766
0905.1925,4,5.5960155,-0.123043746
0811.3812,4,5.5456076,-1.1900111
0905.4172,4,4.8969636,4.2931247
0810.4027,4,5.0690203,-1.4024352
0906.1681,4,5.368672,-1.5201514
0912.0296,4,5.477574,-1.7970741
0901.2947,4,5.405889,-0.7586398
0906.2993,4,5.609889,-0.9879388
0811.3144,4,5.3234415,0.20218024
0912.2658,4,5.2170663,1.9747727
0907.2742,4,5.451629,-2.1212568
0911.1665,4,5.611391,-2.3942385
0908.4304,4,4.964104,4.540248
0911.5002,4,5.14258,-0.7271291
0904.4755,4,5.1413856,-1.5185958
0810.2087,4,4.656437,-1.7513123
0704.2322,4,5.2620945,-1.230524
0903.2588,4,5.279323,-2.2015185
0904.2474,4,5.567764,-1.3005188
0904.2961,4,5.2127333,-2.274236
0911.1185,2,3.4894538,7.5022297
0903.5484,4,5.5513377,-2.3268638
0908.1593,4,4.2475295,-0.5169693
1001.0573,4,5.2845826,-0.9512085
0706.2756,4,5.6205125,-1.0369624
0809.0647,4,5.7612505,-1.5307579
0809.4666,4,5.4455295,-0.9833925
1002.1037,4,5.1411486,-1.3632195
0910.5690,4,4.770128,4.380326
0908.2325,4,5.38542,-2.3200748
0808.3199,4,5.263245,-0.76407903
0808.2218,1,4.6786923,4.605027
0908.2748,4,5.4523683,-1.0035439
0912.4733,4,2.4091227,1.6060061
0907.0295,1,0.61170226,6.725774
0907.1867,4,4.3726254,-0.46713975
0710.4566,4,4.7785068,4.412786
0903.4075,4,5.0152297,4.5905414
0705.0111,4,5.2202363,-2.2477584
0901.3532,4,3.977238,1.4525781
0912.0331,4,3.486335,1.8859757
0711.1204,4,5.6844697,-1.8844632
1002.2736,4,4.3515944,-0.4998227
0912.3410,4,4.8506856,-1.1952403
0812.1777,4,5.59448,-0.26391876
0908.3782,4,5.6032395,-1.868429
0704.0494,4,4.9435444,-2.128424
0705.3731,4,5.7309475,-1.6366441
0808.3640,3,3.6072009,4.999602
0805.3035,4,5.367689,-0.9526424
0905.1765,4,5.692838,-0.88998073
0907.4233,3,3.3695242,5.713974
0905.3136,4,4.8201504,-1.2648666
0812.3704,4,5.4071417,-2.374567
0909.4912,4,5.555579,-0.73485947
0908.4469,4,5.550255,-0.017061953
0904.0366,4,4.5033603,1.4012196
0908.1569,4,4.3452,-0.46549103
0906.4886,4,5.4982767,-1.7119508
0905.3035,4,5.586596,-0.975154
0908.0250,1,4.6278815,-1.4873531
0907.2365,4,5.6314983,-0.9344112
0704.0512,1,2.810792,6.1438756
0909.1756,4,5.3663077,-0.9552158
0904.1689,4,4.9601536,-0.40006837
0910.4860,4,5.420387,-1.8407679
0907.0753,4,5.1735888,-2.2324784
1001.3580,4,4.5003924,0.12888467
0907.2697,4,5.737755,-1.4539866
1001.3530,4,5.7348514,-1.4430003
0808.0335,4,5.4404635,-1.842173
0908.2608,4,5.6396565,-0.9046405
0912.3066,4,4.113985,-0.31876248
0811.1077,4,5.355388,-2.3118813
0908.3385,4,8.308206,1.6034036
0906.0548,4,5.080684,4.301513
0810.4125,4,4.8268394,-2.093143
0902.3806,4,5.2950797,-1.1525214
0908.0318,3,3.7839422,5.4905457
0908.4216,4,4.9866166,-0.8309205
0902.4590,4,5.570157,-2.3871086
0705.2344,4,3.7195115,5.057325
0912.4735,4,5.17671,-2.2615232
0707.1436,4,5.0584917,4.8987393
0911.0327,4,5.2589707,-1.8380027
0904.0269,4,5.042123,4.358421
0912.3789,4,4.5810704,-1.8014584
0904.3559,4,5.1037607,-0.6719811
0903.1009,4,4.139071,-0.21132892
0908.2831,4,5.592247,-0.99404156
0906.2744,4,2.9018192,0.47119588
0810.3111,4,3.0578456,0.31362787
0907.5564,4,4.0529375,1.1019273
0910.5378,4,5.399029,-2.3913238
0911.0635,4,5.186299,2.1424727
0812.0301,4,4.9469013,-0.73599154
0910.3333,4,5.7484393,-0.7376529
0810.5367,4,5.686245,-1.4558893
0904.1517,1,3.3053875,5.7919765
0910.4267,4,5.6086817,-2.494133
0903.4380,4,4.9864726,4.5954585
0904.1813,4,5.5912204,-1.7931205
0909.3938,3,4.862198,4.644522
